#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
processing; dealing with; treatment; disposition; disposal	செயலாக்கம்; கையாள்வது; சிகிச்சை; மனநிலை; அகற்றல்
processor	செயலி
proclaim	பிரகடனம்
produce	உற்பத்தி
produce (e.g. agricultural); crops	உற்பத்தி (எ.கா. விவசாயம்); பயிர்கள்
producer	தயாரிப்பாளர்
producing area	உற்பத்தி பகுதி
product	தயாரிப்பு
production	உற்பத்தி
production (e.g. play); direction	உற்பத்தி (எ.கா. நாடகம்); திசை
production cut	உற்பத்தி வெட்டு
production; literary creation; work	உற்பத்தி; இலக்கிய உருவாக்கம்; வேலை
production; manufacture	உற்பத்தி; உற்பத்தி
productive	உற்பத்தி
productivity	உற்பத்தித்திறன்
profession	தொழில்
professional	தொழில்முறை
professor	பேராசிரியர்
profile	சுயவிவரம்
profit	லாபம்
profit margin	லாப வரம்பு
profitable	இலாபகரமான
profits; gains; (political; economic) interest	லாபம்; ஆதாயங்கள்; (அரசியல்; பொருளாதார) ஆர்வம்
profound	ஆழமான
program	திட்டம்
program / show	நிகழ்ச்சி / நிகழ்ச்சி
programme	திட்டம்
programmer	புரோகிராமர்
programming	நிரலாக்கம்
progress	முன்னேற்றம்
progress / course	முன்னேற்றம் / பாடநெறி
progress; development	முன்னேற்றம்; வளர்ச்சி
progressive	முற்போக்கானது
prohibit	தடை
prohibition	தடை
prohibition; ban	தடை; தடை
project	திட்டம்
projection	கணிப்பு
prolific	வளமான
prominent	முக்கிய
promise	வாக்குறுதி
promise / appointment	வாக்குறுதி / நியமனம்
promise; appointment	வாக்குறுதி; நியமனம்
promising	உறுதியளிக்கிறது
promote	ஊக்குவிக்க
promotion	பதவி உயர்வு
promotion / drive	பதவி உயர்வு / ஓட்டு
prompt	உடனடியாக
pronoun	பிரதிபெயர்
pronounce	உச்சரிக்கவும்
pronounced	உச்சரிக்கப்படுகிறது
pronunciation	உச்சரிப்பு
pronunciation key	உச்சரிப்பு விசை
proof	ஆதாரம்
proof / certification	சான்று / சான்றிதழ்
proof; verification	ஆதாரம்; சரிபார்ப்பு
propaganda	பிரச்சாரம்
propaganda; publicity	பிரச்சாரம்; விளம்பரம்
propensity	நாட்டம்
proper	சரியான
properly	ஒழுங்காக
property	சொத்து
property; fortune; assets	சொத்து; அதிர்ஷ்டம்; சொத்துக்கள்
proportion	விகிதம்
proposal	முன்மொழிவு
proposal; proposition; suggestion	முன்மொழிவு; முன்மொழிவு; பரிந்துரை
propose	முன்மொழியுங்கள்
proposition	முன்மொழிவு
prosecute	வழக்குத் தொடரவும்
prosecution	வழக்கு
prosecutor	வழக்குரைஞர்
prospect	வாய்ப்பு
prospective	வருங்கால
prosperity	செழிப்பு
prosperous conditions; healthy economy	வளமான நிலைமைகள்; ஆரோக்கியமான பொருளாதாரம்
protect	பாதுகாக்க
protection	பாதுகாப்பு
protective	பாதுகாப்பு
protein	புரதம்
protest	எதிர்ப்பு
protester	எதிர்ப்பாளர்
protocol	நெறிமுறை
proud	பெருமை
prove	நிரூபிக்க
proverb; maxim	பழமொழி; அதிகபட்சம்
provide	வழங்குகின்றன
provided that	என்று வழங்கினார்
province	மாகாணம்
provincial	மாகாண
provision	ஏற்பாடு
provisions; rations	ஏற்பாடுகள்; உணவுப்பொருட்கள்
