హాయ్, మీరు ఎలా ఉన్నారు?	Hi, how are you?
సమర్థవంతమైన పద్ధతి కావాలి	Need an effective method
నేటి పని ఉత్పాదకగా ఉంది	Today's work is productive
ఉత్పాదక పని చేయాలి	Must do productive work
అతను జవాబుదారీగా ఉన్నాడు	He is accountable
అతను చాలా క్రియాశీలమైన వ్యక్తి	He is a very proactive person
క్రియాశీలమైన పద్ధతులు అవసరం	Proactive methods are necessary
ఆమె వనరుల నిర్వహణలో నేర్పరి	She is an expert in resource management
వనరుల వినియోగం పెంచాలి	Resource utilization should be increased
వారు పనిని చేపడతారు	They carry out the work.
అందరూ పనులను చేపడతారు	Everyone carries out the tasks.
అతను నన్ను తీసుకుని వచ్చాడు	He brought me along.
అమెక్కీ ఆమెను తీసుకుని వచ్చింది	She brought her along.
వారు సమస్యను పరిశీలిస్తారు	They look into the problem.
అధికారులు విషయాన్ని పరిశీలిస్తారు	Officials look into the matter.
అతను ప్లాన్ నిలిపివేసింది	He put off the plan.
ఆమె మీటింగ్‌ను నిలిపివేసింది	She put off the meeting.
కొత్త ఆలోచనలు తో వస్తాయి	New ideas come up with.
మంచి ఫలితాలు తో వస్తాయి	Good results come up with.
ఆ ప్రతిపాదనను తిరస్కరించు	Turn down the proposal.
అతను ఆ అవకాశాన్ని తిరస్కరించు	Turn down that opportunity.
వారు తప్పులను ఎత్తి చూపుతారు	They point out the mistakes.
అతను కారణాలను ఎత్తి చూపుతారు	He points out the reasons.
నేను కొత్త కంపెనీ ఏర్పాటు	I set up a new company.
అక్కడ ఒక వేదిక ఏర్పాటు	Set up a stage there.
ఆడోపికను వదులుకో	Give up the option.
అతను తన అలవాటును వదులుకో	Give up his habit.
మీరు వ్యాయామం పని చేయండి	You work out exercise.
అక్కడ మీరు పని చేయండి	You work out there.
ఇది ఖర్చు కోసం ఖాతా	This is an account for expenses.
అది లాభం కోసం ఖాతా	That is an account for profit.
డేటాను బ్యాకప్ చేయండి	Back up the data.
ఫైళ్ళను బ్యాకప్ చేయండి	Back up the files.
యంత్రం విచ్ఛిన్నం అయింది	The machine broke down.
వ్యవస్థ విచ్ఛిన్నం అయింది	The system broke down.
పిల్లలను తీసుకురండి	Bring up the children.
అతను పుస్తకాలను తీసుకురండి	He bring up the books.
మీటింగ్‌ను కాల్ ఆఫ్ చేయండి	Call off the meeting.
ఈ ప్లాన్ కాల్ ఆఫ్ చేయండి	Call off this plan.
మీ పనిని కొనసాగించు	Carry on your work.
చదువును కొనసాగించు	Carry on the studies.
అతను వేగాన్ని పట్టుకుంటారు	He catches up with the speed.
