ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ಅವನು ತನ್ನ ವ್ಯಾಪಾರವನ್ನು ವಿಸ್ತರಿಸಿ ಬೆಳೆಸಿದನು	He expanded and grew his business
ಅವರು ನಗರವನ್ನು ವಿಸ್ತರಿಸಿ ಕಟ್ಟಿದರು	They expanded and built the city
ಅವು ರೋಗವನ್ನು ತಡೆಯುತ್ತವೆ	They prevent the disease
ಅವು ಅಪಘಾತವನ್ನು ತಡೆಯುತ್ತವೆ	They prevent the accident
ನೀವು ಸಮಸ್ಯೆಯನ್ನು ತಪ್ಪಿಸಿ ನಡೆಯಿರಿ	You avoid the problem and walk
ಅವಳು ತಪ್ಪನ್ನು ತಪ್ಪಿಸಿ ಕೆಲಸ ಮಾಡಿದಳು	She avoided the mistake and worked
ಮಕ್ಕಳನ್ನು ಓದಲು ಪ್ರೋತ್ಸಾಹಿಸಿ	Encourage the children to read
ಅವರು ಹೊಸ ಕಲಿಕೆಗೆ ಪ್ರೋತ್ಸಾಹಿಸಿ ಬೆಳೆಸಿದರು	They encouraged and grew new learning
ಅವನು ನನ್ನನ್ನು ನಿರುತ್ಸಾಹಗೊಳಿಸು ಎಂದು ನೋಡಿದನು	He looked at me to discourage
ಅವಳು ನನ್ನನ್ನು ನಿರುತ್ಸಾಹಗೊಳಿಸು ಮಾಡಬೇಡ ಎಂದಳು	She told me not to discourage
ಅವನು ನನ್ನನ್ನು ಮನವೊಲಿಸಿ ಕರೆದನು	He persuaded me and called
ಅವಳು ಅವರನ್ನು ಮನವೊಲಿಸಿ ಗೆದ್ದಳು	She persuaded them and won
ಅವಳು ನನಗೆ ಮನವರಿಕೆ ಮಾಡಿ ತಿಳಿಸಿದಳು	She convinced me and explained
ಅವನು ತನ್ನ ಮಾತನ್ನು ಮನವರಿಕೆ ಮಾಡಿ ಹೇಳಿದನು	He convinced and told his word
ಅವನು ಹೊಸ ಪುಸ್ತಕವನ್ನು ಶಿಫಾರಸು ಮಾಡಿದನು	He recommended a new book
ಅವರು ಈ ಔಷಧವನ್ನು ಶಿಫಾರಸು ಮಾಡಿದರು	They recommended this medicine
ಅವಳು ಹಣಕ್ಕಾಗಿ ಒತ್ತಾಯ ಮಾಡಿದಳು	She insisted for the money
ಅವನು ತನ್ನ ಹಕ್ಕನ್ನು ಒತ್ತಾಯ ಮಾಡಿದನು	He insisted on his right
ಅವಳು ಕೆಲಸಕ್ಕಾಗಿ ಬೇಡಿಕೆ ಇಟ್ಟಳು	She made a demand for work
ಅವರು ಹೊಸ ಕಾನೂನಿನ ಬೇಡಿಕೆ ಮಾಡಿದರು	They demanded a new law
ಅವನು ಗೆಲುವು ನಿರೀಕ್ಷಿಸಬಹುದು	One can expect victory
ನಾವು ಉತ್ತಮ ಫಲಿತಾಂಶ ನಿರೀಕ್ಷಿಸಬಹುದು	We
ವೈದ್ಯರು ಈ ಔಷಧವನ್ನು ಸೂಚಿಸುತ್ತಾರೆ	The doctor suggests this medicine
ಅವರು ಹೊಸ ಮಾರ್ಗವನ್ನು ಸೂಚಿಸುತ್ತಾರೆ	They suggest a new way
ನನ್ನನ್ನು ಊಹಿಸಿಕೊಳ್ಳಿ	Assume me
ಅವನನ್ನು ಊಹಿಸಿಕೊಳ್ಳಿ	Assume him
ಇದರ ಅಂದಾಜು ಎಷ್ಟು?	What is the estimate of this?
ಅದು ಸರಿಯಾದ ಅಂದಾಜು	That is a correct estimate
ಲೆಕ್ಕಾಚಾರ ಮಾಡು	Do the calculation
ನಿನ್ನ ಲೆಕ್ಕಾಚಾರ ತಪ್ಪಾಗಿದೆ	Your calculation is wrong
ದಿನಾಂಕವನ್ನು ನಿರ್ಧರಿಸಿ	Determine the date
ಸರಿಯಾದ ಸಮಯವನ್ನು ನಿರ್ಧರಿಸಿ	Determine the correct time
ಅವನನ್ನು ಗುರುತಿಸಿ	Identify him
ಸ್ಥಳವನ್ನು ಗುರುತಿಸಿ	Identify the place
ಅದನ್ನು ಪರಿಗಣಿಸಿ	Consider that
ನನ್ನ ವಿನಂತಿಯನ್ನು ಪರಿಗಣಿಸಿ	Consider my request
ಕನ್ನಡಿಯು ಮುಖವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ	The mirror reflects the face
ನೀರು ಆಕಾಶವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ	The water reflects the sky
ದೀಪಗಳು ದಾರಿಯನ್ನು ಸೂಚಿಸುತ್ತವೆ	The lights indicate the way
ಲಕ್ಷಣಗಳು ಕಾಯಿಲೆಯನ್ನು ಸೂಚಿಸುತ್ತವೆ	The symptoms indicate the disease
ರಹಸ್ಯವನ್ನು ಬಹಿರಂಗಪಡಿಸಿ	Reveal the secret
ಸತ್ಯವನ್ನು ಬಹಿರಂಗಪಡಿಸಿ	Reveal the truth
ಸಮಸ್ಯೆಯನ್ನು ಸ್ಪಷ್ಟಪಡಿಸಿ	Clarify the problem
ನಿಮ್ಮ ಉತ್ತರವನ್ನು ಸ್ಪಷ್ಟಪಡಿಸಿ	Clarify your answer
ನಿಮ್ಮ ಕಲ್ಪನೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ	Your hypothesis is very good
ಈ ಕಲ್ಪನೆ ಸರಿಯಾಗಿಲ್ಲ	This hypothesis is not correct
ಹಳೆಯ ಮಾದರಿ ಬದಲಾಗಿದೆ	The old paradigm has changed
ಹೊಸ ಮಾದರಿ ನೋಡಿ	Look at the new paradigm
ವಿಧಾನಶಾಸ್ತ್ರವು ತುಂಬಾ ಸಂಕೀರ್ಣವಾಗಿದೆ	The methodology is very complex
ನಿಮ್ಮ ವಿಧಾನಶಾಸ್ತ್ರ ಸರಿಯಾಗಿದೆ	Your methodology is correct
ಇದು ವಿಚಿತ್ರ ವಿದ್ಯಮಾನ	This is a strange phenomenon
ಆ ವಿದ್ಯಮಾನವು ಎಲ್ಲರಿಗೂ ಗೊತ್ತು	Everyone knows that phenomenon
ಅಲ್ಲಿ ಒಮ್ಮತ ಮೂಡಿದೆ	A consensus has emerged there
ನಮಗೆ ಒಮ್ಮತ ಬೇಕು	We need a consensus
ಇಲ್ಲಿ ಪರಸ್ಪರ ಸಂಬಂಧವಿದೆ	There is a correlation here
ಪರಸ್ಪರ ಸಂಬಂಧವನ್ನು ಗಮನಿಸಿ	Notice the correlation
ಈ ವೇರಿಯಬಲ್ ಬದಲಾಗಿದೆ	This variable has changed
ವೇರಿಯಬಲ್ ಸರಿಯಾಗಿ ಗುರುತಿಸಿ	Identify the variable correctly
ಈ ಮಾನದಂಡ ಸರಿಯಾಗಿದೆ	This criteria is correct
ಅಲ್ಲಿ ಹೊಸ ಮಾನದಂಡವಿದೆ	There is a new criteria there
ನಿಮ್ಮ ಕಲ್ಪನೆ ವಿಶಿಷ್ಟವಾಗಿದೆ	Your notion is unique
ಈ ಕಲ್ಪನೆ ಹಳೆಯದು	This notion is old
ಅಲ್ಲಿ ತರ್ಕಬದ್ಧತೆ ಇಲ್ಲ	There is no rationale there
ತರ್ಕಬದ್ಧತೆ ತುಂಬಾ ಮುಖ್ಯ	Rationale is very important
ಇದು ಪ್ರಾಯೋಗಿಕ ಪ್ರಯತ್ನ	This is an empirical effort
ಪ್ರಾಯೋಗಿಕ ಫಲಿತಾಂಶ ನೋಡಿ	Look at the empirical result
ಅದು ಸೈದ್ಧಾಂತಿಕ ಚರ್ಚೆ	That is a theoretical discussion
ಸೈದ್ಧಾಂತಿಕ ವಿಷಯಗಳನ್ನು ಓದಿ	Read the theoretical topics
ಈ ಚೌಕಟ್ಟು ಸರಿಯಾಗಿದೆ	This framework is correct
ಹೊಸ ಚೌಕಟ್ಟು ರೂಪಿಸಿ	Create a new framework
ಸಂದರ್ಭವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಿ	Understand the context
ಈ ಸಂದರ್ಭ ವಿಭಿನ್ನವಾಗಿದೆ	This context is different
ಇದು ಹೊಸ ಆಯಾಮ	This is a new dimension
ಆಯಾಮವನ್ನು ಗಮನಿಸಿ	Notice the dimension
ಮುಖ್ಯ ಅಂಶವನ್ನು ತಿಳಿಸಿ	Tell the main aspect
ಪ್ರತಿ ಅಂಶವೂ ಮುಖ್ಯ	Every aspect is important
ಇದು ಮುಖ್ಯ ಅಂಶ	This is a main factor
ಅಂಶವನ್ನು ಪರಿಶೀಲಿಸಿ	Check the factor
ಹೊಸ ಪ್ರವೃತ್ತಿ ಆರಂಭವಾಗಿದೆ	A new trend has started
ಈ ಪ್ರವೃತ್ತಿ ವಿಚಿತ್ರವಾಗಿದೆ	This trend is strange
ಮಾದರಿ ಬಹಳ ಸುಂದರವಾಗಿದೆ	The pattern is very beautiful
ಆ ಮಾದರಿ ಗಮನಿಸಿ	Notice that pattern
ಮಾದರಿ ಸರಿಯಾಗಿ ತೆಗೆದುಕೊಳ್ಳಿ	Take the sample correctly
ಈ ಮಾದರಿ ಸಾಲದು	This sample is not enough
ಸಮೀಕ್ಷೆ ಈಗ ಆರಂಭವಾಯಿತು	The survey started now
ಸಮೀಕ್ಷೆ ಫಲಿತಾಂಶ ಬಂದಿದೆ	The survey result has come
ಅವನು ಇದನ್ನು ಕಂಡುಹಿಡಿಯುವುದು ಕಷ್ಟ	It is hard for him to find this
ಕಂಡುಹಿಡಿಯುವುದು ತುಂಬಾ ಮುಖ್ಯ	Finding is very important
ಡೇಟಾ ಸೆಟ್ ದೊಡ್ಡದಾಗಿದೆ	The data set is large
ಡೇಟಾ ಸೆಟ್ ಪರಿಶೀಲಿಸಿ	Check the data set
ಅಂಕಿಅಂಶಗಳು ಸರಿಯಾಗಿವೆ	The statistics are correct
ಅಂಕಿಅಂಶಗಳನ್ನು ಗಮನಿಸಿ	Notice the statistics
ಇದು ಗಮನಾರ್ಹ ಬದಲಾವಣೆ	This is a significant change
ಗಮನಾರ್ಹ ವ್ಯತ್ಯಾಸವಿದೆ	There is a significant difference
ಇದರ ಪ್ರಸ್ತುತತೆ ಏನು?	What is its relevance?
ಪ್ರಸ್ತುತತೆ ಇಲ್ಲದ ವಿಷಯ	A topic without relevance
ಅಂಕಿಅಂಶಗಳ ಮಾನ್ಯತೆ ಇಲ್ಲ	The statistics have no validity
ಮಾನ್ಯತೆ ಇಲ್ಲದ ಫಲಿತಾಂಶ	A result without validity
ವಿಶ್ವಾಸಾರ್ಹತೆ ಬಹಳ ಮುಖ್ಯ	Reliability is very important
ಅವನ ಮಾತುಗಳಲ್ಲಿ ವಿಶ್ವಾಸಾರ್ಹತೆ ಇದೆ	There is reliability in his words
ಈ ವಿಷಯದ ವ್ಯಾಪ್ತಿ ದೊಡ್ಡದು	The scope of this topic is large
ವ್ಯಾಪ್ತಿಯನ್ನು ಗಮನಿಸಿ	Notice the scope
ಇದರ ಮಿತಿ ಏನು?	What is its limitation?
ಮಿತಿಗಳನ್ನು ಗುರುತಿಸಿ	Identify the limitations
ಮಾಹಿತಿಯನ್ನು ಹೊರತೆಗೆಯಿರಿ	Extrapolate the information
ಅದನ್ನು ಹೊರತೆಗೆಯಿರಿ	Extrapolate that
ಅದನ್ನು ಪ್ರಮಾಣೀಕರಿಸು	Quantify that
ಸರಿಯಾಗಿ ಪ್ರಮಾಣೀಕರಿಸು	Quantify it correctly
ಕಾಂಟ್ರಾಸ್ಟ್ ಗಮನಿಸಿ	Notice the contrast
ಮಾಹಿತಿಯನ್ನು ಸಂಶ್ಲೇಷಿಸಿ	Synthesize the information
ಸರಿಯಾಗಿ ಸಂಶ್ಲೇಷಿಸಿ	Synthesize it correctly
ನಿಮ್ಮ ವಿಮರ್ಶೆ ಸರಿಯಾಗಿದೆ	Your critique is correct
ವಿಮರ್ಶೆ ನೀಡಿ	Give a critique
ವಿಷಯವನ್ನು ಪರೀಕ್ಷಿಸು	Examine the topic
ಪೊಲೀಸರು ತನಿಖೆ ಮಾಡಿದರು	The police investigated
ಈ ತನಿಖೆ ಅಗತ್ಯವಿದೆ	This investigation is necessary
ಅವನ ಪ್ರತಿಪಾದನೆ ಸರಿಯಾಗಿದೆ	His proposition is correct
ಹೊಸ ಪ್ರತಿಪಾದನೆ ನೋಡಿ	Look at the new proposition
ಆ ಪ್ರತಿಪಾದನೆ ಸುಳ್ಳಾಗಿದೆ	That assertion is false
ನಿನ್ನ ಪ್ರತಿಪಾದನೆ ಏನು?	What is your assertion?
ಆವರಣ ತುಂಬಾ ದೊಡ್ಡದಾಗಿದೆ	The premise is very large
ಈ ಆವರಣ ಸ್ವಚ್ಛವಾಗಿದೆ	This premise is clean
ನಾವು ಮಾತುಕತೆ ಮಾಡೋಣ	Let us negotiate
ಅವರ ಮಾತುಕತೆ ನಡೆಯಿತು	Their negotiation happened
ನಾನು ಪ್ರತಿನಿಧಿ ಆಗಿದ್ದೇನೆ	I am the delegate
ಅವರು ಹೊಸ ಪ್ರತಿನಿಧಿ	They are the new delegate
ಅದು ನನಗೆ ಅನುಕೂಲವಾಯಿತು	That was a convenience for me
ಈ ವ್ಯವಸ್ಥೆ ಅನುಕೂಲ ನೀಡುತ್ತದೆ	This system provides convenience
ಅವರ ಜೊತೆ ಸಂಪರ್ಕ ಮಾಡಿ	Liaise with them
ನನಗೆ ನಿಮ್ಮ ಸಂಪರ್ಕ ಬೇಕು	I need your contact
ಯೋಜನೆಯನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸಿ	Implement the plan
ಈ ನಿಯಮವನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸಿ	Implement this rule
ಅವರು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ	They oversee
ಮೇಲ್ವಿಚಾರಣೆ ತುಂಬಾ ಮುಖ್ಯ	Overseeing is very important
ನಾವು ಪ್ರಕ್ರಿಯೆಯನ್ನು ಸ್ಟ್ರೀಮ್ಲೈನ್ ಮಾಡಬೇಕು	We must streamline the process
ಅವರು ಕೆಲಸವನ್ನು ಸ್ಟ್ರೀಮ್ಲೈನ್ ಮಾಡಿದರು	They streamlined the work
ಕೆಲಸಕ್ಕೆ ಆದ್ಯತೆ ನೀಡಿ	Prioritize the work
ಅವರು ಶಿಕ್ಷಣಕ್ಕೆ ಆದ್ಯತೆ ನೀಡಿ	They prioritized education
ನಾವೆಲ್ಲರೂ ಸಹಕರಿಸಿ ಕೆಲಸ ಮಾಡೋಣ	Let us all collaborate and work
ನೀವು ನಮಗೆ ಸಹಕರಿಸಿ	You collaborate with us
ಸಂಪನ್ಮೂಲಗಳನ್ನು ಅತ್ಯುತ್ತಮವಾಗಿಸು	Optimize the resources
ಸಮಯವನ್ನು ಅತ್ಯುತ್ತಮವಾಗಿಸು	Optimize the time
ಅವರು ತಂತ್ರ ರೂಪಿಸುತ್ತಾರೆ	They strategize
ನಾಯಕರು ತಂತ್ರ ರೂಪಿಸುತ್ತಾರೆ	Leaders strategize
ಒಂದು ಹೊಸ ಯೋಜನೆ ಇದೆ	There is a new plan
ಈ ಯೋಜನೆ ಉತ್ತಮವಾಗಿದೆ	This plan is good
ಸಭೆಯನ್ನು ಸಂಘಟಿಸಿ	Organize the meeting
ಅವರು ಕಾರ್ಯಕ್ರಮವನ್ನು ಸಂಘಟಿಸಿ	They organized the event
ನಾವು ಸಮನ್ವಯಗೊಳಿಸು ಮಾಡಬೇಕು	We must coordinate
ಸಮನ್ವಯಗೊಳಿಸು ಮಾಡುವುದು ಸುಲಭ	Coordinating is easy
ಕಚೇರಿಯನ್ನು ನಿರ್ವಹಿಸಿ	Manage the office
ಅವರು ತಂಡವನ್ನು ನಿರ್ವಹಿಸಿ	They managed the team
ಅವರು ತಂಡವನ್ನು ಮುನ್ನಡೆ ಮಾಡುತ್ತಾರೆ	They lead the team
ನಾವು ಮುನ್ನಡೆ ಮಾಡೋಣ	Let us lead
ಸಂಗೀತವು ನಮ್ಮನ್ನು ಪ್ರೇರೇಪಿಸುತ್ತದೆ	Music motivates us
ಶಿಸ್ತು ನಮ್ಮನ್ನು ಪ್ರೇರೇಪಿಸುತ್ತದೆ	Discipline motivates us
ಅವರು ನನಗೆ ಸ್ಫೂರ್ತಿ	They are an inspiration to me
ನಿಮ್ಮ ಮಾತು ನನಗೆ ಸ್ಫೂರ್ತಿ	Your words are an inspiration to me
ಅವರು ಉತ್ತಮ ಮಾರ್ಗದರ್ಶಕ	They are a good mentor
ನನಗೆ ಒಬ್ಬ ಮಾರ್ಗದರ್ಶಕ ಬೇಕು	I need a mentor
ಅವರು ಕೆಲಸವನ್ನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ	They supervise the work
ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುವುದು ಅಗತ್ಯ	Supervising is necessary
ಅವರು ಕೆಲಸದ ಮೌಲ್ಯಮಾಪನ ಮಾಡಿದರು	They evaluated the work
ಮೌಲ್ಯಮಾಪನ ಸರಿಯಾಗಿ ಇರಲಿ	Let the evaluation be correct
ಪುಸ್ತಕದ ವಿಮರ್ಶೆ ಚೆನ್ನಾಗಿದೆ	The book review is good
ವಿಮರ್ಶೆ ಮಾಡುವುದು ಮುಖ್ಯ	Reviewing is important
ವರದಿ ಓದಿ ನೋಡಿ	Read the report
ಅದು ಪ್ರಸ್ತುತ ವಿಷಯವಾಗಿದೆ	That is the present topic
ಅವರು ವಿಷಯವನ್ನು ಪ್ರಸ್ತುತ ಮಾಡಿದರು	They presented the topic
ಸಂವಹನ ಕಲೆ ಕಲಿಯಿರಿ	Learn the art of communication
ನಮ್ಮ ಸಂವಹನ ಸರಳವಾಗಿದೆ	Our communication is simple
ಇದು ಅದಕ್ಕೆ ಅನುರೂಪವಾಗಿದೆ	This is corresponding to that
ಅವುಗಳು ಪರಸ್ಪರ ಅನುರೂಪವಾಗಿದೆ	They are corresponding to each other
ಅವಳನ್ನು ಅನುಸರಿಸಿ	Follow her
ನಿಯಮಗಳನ್ನು ಅನುಸರಿಸಿ	Follow the rules
ನನ್ನ ವೇಳಾಪಟ್ಟಿ ಬಿಜಿಯಾಗಿದೆ	My schedule is busy
ವೇಳಾಪಟ್ಟಿಯನ್ನು ನೋಡಿ	Look at the schedule
ಕೆಲಸವನ್ನು ನಿಯೋಜಿಸಿ	Allocate the work
ಸಮಯವನ್ನು ನಿಯೋಜಿಸಿ	Allocate the time
ಬಜೆಟ್ ಸಿದ್ಧವಾಗಿದೆ	The budget is ready
ಬಜೆಟ್ ಕಡಿಮೆ ಇದೆ	The budget is low
ಗಡುವು ನಾಳೆ ಇದೆ	The deadline is tomorrow
ಇದು ದೊಡ್ಡ ಮೈಲಿಗಲ್ಲು	This is a big milestone
ಅದು ಮೊದಲ ಮೈಲಿಗಲ್ಲು	That is the first milestone
ಈ ಕಾರ್ಯ ಸುಲಭವಾಗಿದೆ	This task is easy
ಹೊಸ ಕಾರ್ಯ ಶುರು ಮಾಡಿ	Start a new task
ಕೆಲಸದ ಹೊರೆ ಹೆಚ್ಚಾಗಿದೆ	The workload has increased
ಕೆಲಸದ ಹೊರೆ ಕಡಿಮೆ ಮಾಡಿ	Reduce the workload
ಅವಳು ತುಂಬಾ ಸಮರ್ಥ	She is very efficient
ಸಮರ್ಥ ಕೆಲಸಗಾರರು ಬೇಕು	Efficient workers are needed
ಪರಿಣಾಮಕಾರಿ ಕ್ರಮ ತಗೊಳ್ಳಿ	Take effective measures
ಇದು ಪರಿಣಾಮಕಾರಿ ವಿಧಾನ	This
ಈ ಕೆಲಸವು ತುಂಬಾ ಉತ್ಪಾದಕವಾಗಿದೆ	This work is very productive
ಅವನು ಉತ್ಪಾದಕ ದಿನವನ್ನು ಕಳೆದನು	He spent a productive day
ಅವಳು ತನ್ನ ಕೆಲಸದಲ್ಲಿ ಜವಾಬ್ದಾರಿಯುತಳು	She is accountable in her work
ನೀವು ಜವಾಬ್ದಾರಿಯುತ ವ್ಯಕ್ತಿಯಾಗಬೇಕು	You must be an accountable person
ಅವನು ಪೂರ್ವಭಾವಿ ಕ್ರಮಗಳನ್ನು ತೆಗೆದುಕೊಂಡನು	He took proactive measures
ನಾವು ಪೂರ್ವಭಾವಿ ಯೋಜನೆಯನ್ನು ಮಾಡಬೇಕು	We must make a proactive plan
ಅವಳು ತುಂಬಾ ತಾರಕ್ ಹುಡುಗಿ	She is a very resourceful girl
ತಾರಕ್ ವ್ಯಕ್ತಿಗಳು ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸುತ್ತಾರೆ	Resourceful people solve the problem
ಅವರು ಯೋಜನೆಗಳನ್ನು ಕೈಗೊಳ್ಳುತ್ತವೆ	They carry out plans.
ಸರ್ಕಾರವು ಕ್ರಮಗಳನ್ನು ಕೈಗೊಳ್ಳುತ್ತವೆ	The government carries out measures.
ಅವನು ಬದಲಾವಣೆ ತರಲು ಪ್ರಯತ್ನಿಸಿದನು	He tried to bring about change.
ಶಾಂತಿಯನ್ನು ತರಲು ನಾವು ಪ್ರಯತ್ನಿಸೋಣ	Let us try to bring about peace.
ಬಾಕ್ಸ್ ಒಳಗೆ ನೋಡಿ	Look into the box.
ಕಿಟಕಿ ಒಳಗೆ ನೋಡಿ	Look into the window.
ಅವರು ಸಭೆಯನ್ನು ಮುಂದೂಡಿದರು	They put off the meeting.
ಅವಳು ಪಯಣವನ್ನು ಮುಂದೂಡಿದರು	She put off the trip.
ನನ್ನ ಜೊತೆ ಬನ್ನಿ	Come up with me.
ನಮ್ಮ ಜೊತೆ ಬನ್ನಿ	Come up with us.
ಅವನು ಆ ಪ್ರಪೋಸಲ್ ತಿರಸ್ಕರಿಸು	He turn down that proposal.
ಅವಳು ಆ ಉದ್ಯೋಗವನ್ನು ತಿರಸ್ಕರಿಸು	She turn down that job.
ಅವರು ತಪ್ಪುಗಳನ್ನು ಸೂಚಿಸುತ್ತಾರೆ	They point out mistakes.
ಶಿಕ್ಷಕರು ದಾರಿಯನ್ನು ಸೂಚಿಸುತ್ತಾರೆ	Teachers point out the way.
ಅವರು ಹೊಸ ಕಂಪನಿಯನ್ನು ಸ್ಥಾಪಿಸಿದರು	They set up a new company.
ಅವನು ಒಂದು ಗುಂಪನ್ನು ಸ್ಥಾಪಿಸಿದರು	He set up a group.
ಭರವಸೆಯನ್ನು ಬಿಟ್ಟುಕೊಡುಬೇಡಿ	Do not give up hope.
ಕೆಟ್ಟ ಅಭ್ಯಾಸವನ್ನು ಬಿಟ್ಟುಕೊಡು	Give up the bad habit.
ನೀವು ಚೆನ್ನಾಗಿ ಕೆಲಸ ಮಾಡಿ	You work out well.
ಇಲ್ಲಿ ಸ್ವಲ್ಪ ಕೆಲಸ ಮಾಡಿ	Work out a little here.
ಅವನು ಹಣವನ್ನು ಖಾತೆಗೆ ಹಾಕಿದನು	He put the money to account for.
ಇದನ್ನು ನಿಮ್ಮ ಖಾತೆಗೆ ಸೇರಿಸಿ	Add this to your account for.
