#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
where; which; who; anyway; anyhow; at any rate	أين؛ أيّ؛ من؛ على أي حال؛ على أية حال؛ بأي حال من الأحوال
where? / what place?	أين؟ / أي مكان؟
whereas	بينما
whereby	حيث
wherever	أينما
whether	سواء
which	الذي
which (emphatic)	الذي (مؤكد)
which (of these)	الذي (من هؤلاء)
which (of two)	الذي (من اثنين)
which ...	التي ...
which one	أي واحد
which one (casual)	أي واحد (عادي)
which one (three of more)	أي واحد (ثلاثة من أكثر)
which one (two items)	أي واحد (عنصرين)
which; what	الذي؛ ماذا
which; who	الذي؛ من
while	بينما
while talking; the line is busy	أثناء الحديث؛ الخط مشغول
while...	بينما...
whilst	بينما
whim; caprice; whimsy; fickle; moody; uneven temper	نزوة؛ نزوة. نزوة؛ متقلب؛ متقلب المزاج. مزاج متفاوت
whip	سوط
whisper	الهمس
white	أبيض
white or grey hair; trendy hair bleaching	شعر أبيض أو رمادي. تبييض الشعر العصرية
who	من
who (polite)	من (مهذب)
who?	من؟
whoever	من
whole	كله
whole life; a lifetime; all through life	الحياة كلها؛ العمر؛ طوال الحياة
whole year; always; everyday	سنة كاملة؛ دائماً؛ كل يوم
whole; entirety; whatever (is the matter)	كامل؛ مجمل؛ مهما كان (الأمر)
wholly	بالكامل
whom	من
whose	الذي
why	لماذا
why (casual)	لماذا (عادي)
why / how come	لماذا / كيف ذلك
why; how	لماذا؛ كيف
wide	واسعة
wide / spacious	واسعة / فسيحة
widely	على نطاق واسع
widen	توسيع
widespread	على نطاق واسع
widow	أرملة
width	العرض
width; breadth	العرض؛ اتساع
wife	زوجة
wife (someone's)	زوجة (شخص ما)
wife; Mrs; madam	زوجة؛ السّيدة؛ سيدتي
wild	برية
wildlife	الحياة البرية
will	سوف
will / determination	الإرادة / العزم
will; desire; ambition	سوف؛ يرغب؛ الطموح
will; volition	سوف؛ الإرادة
willing	على استعداد
willingness	الرغبة
win	فوز
win; victory	فوز؛ النصر
wind	ريح
wind up	ينتهي
window	نافذة
windy	عاصف
wine	النبيذ
wing	الجناح
wings	أجنحة
winner	الفائز
winter	الشتاء
winter scarf	وشاح الشتاء
wipe	مسح
wire	سلك
wireless	لاسلكي
wisdom	الحكمة
wisdom; intelligence; prudence	الحكمة. ذكاء؛ الحكمة
wisdom; wit; sagacity; sense; intelligence; advice	الحكمة. خفة دم. الحكمة. حاسة؛ ذكاء؛ نصيحة
wise	حكيم
wise; clever; smart	حكيم؛ ماهر؛ ذكي
wish	أتمنى
wish; desire; (a) hope	أتمنى؛ يرغب؛ (أ) الأمل
wit	خفة دم
with	مع
with (feeling)	مع (الشعور)
with a pinch of salt	مع قليل من الملح
with the exception of	باستثناء
with trouble; at great pains; long-awaited	مع المتاعب. بآلام عظيمة؛ الذي طال انتظاره
with utmost effort	بأقصى جهد
with; by; by means of; because; in view of	مع؛ بواسطة؛ عن طريق؛ لأن؛ في ضوء
withdraw	انسحاب
withdrawal	انسحاب
within	داخل
without	بدون
without permission	دون إذن
witness	شاهد
wolf	ذئب
woman	امرأة
woman; female	امرأة؛ أنثى
woman; girl	امرأة؛ فتاة
wonder	عجب
wonder; miracle	عجب؛ معجزة
wonderful	رائع
wonderful; gorgeous; splendor; pomp; extravagance	رائع؛ خلاب؛ روعة؛ أبهة. الإسراف
wonderful; splendid; magnificent	رائع؛ رائع. رائع
wood	خشب
wooden	خشبي
woods	الغابة
woods; forester	الغابة. فورستر
wool	الصوف
word	كلمة
word / language	كلمة / لغة
word root; word derivation; etymology	جذر الكلمة؛ اشتقاق الكلمة أصل الكلمة
word; language	كلمة؛ لغة
word; vocabulary	كلمة؛ المفردات
word; vocabulary; (usually) single-character word	كلمة؛ مفردات؛ (عادة) كلمة ذات حرف واحد
words; phrases	كلمات؛ عبارات
work	العمل
work (film; book)	العمل (فيلم ؛ كتاب)
work / duty	العمل / الواجب
work / job	العمل / الوظيفة
work out	تمرن
work; construction; handicraft; maneuvering	العمل؛ بناء؛ الحرف اليدوية. المناورة
work; labor	العمل؛ العمل
work; operation; manufacturing; fatigue duty	العمل؛ عملية؛ تصنيع؛ واجب التعب
work; opus; performance; production	العمل؛ التأليف؛ أداء؛ الإنتاج
worker	عامل
worker; mechanic; artisan; craftsman	عامل؛ ميكانيكي؛ حرفي. حرفي
workforce	القوى العاملة
working	العمل
working together; (husband and wife) earning a living together	العمل معًا؛ (الزوج والزوجة) يكسبان لقمة العيش معًا
workload	عبء العمل
workout	تجريب
workplace	مكان العمل
workshop	ورشة عمل
world	العالم
world; society	العالم؛ المجتمع
worldwide	في جميع أنحاء العالم
worm	دودة
worried	قلق
worried about	قلق بشأن
worry	تقلق
worry; concern; anxiety; care	تقلق؛ هَم؛ قلق؛ رعاية
worse	أسوأ
worship	العبادة
worship; shrine visit	العبادة؛ زيارة الضريح
worst	الأسوأ
worth	يستحق
worthwhile	جديرة بالاهتمام
worthy	يستحق
would	سوف
wound	جرح
wound; injury; hurt; cut	جرح؛ إصابة؛ يؤذي؛ قطع
wow	واو
wrap	التفاف
wrapping cloth; cloth wrapper	قماش التغليف غلاف القماش
wrist	المعصم
write	اكتب
writer	كاتب
writer; author	كاتب؛ المؤلف
writing	الكتابة
writing brush	فرشاة الكتابة
writing down; putting on record; recording; making a note of; registration (of mail)	الكتابة؛ تسجيل؛ تسجيل؛ تدوين ملاحظة؛ تسجيل (البريد)
writing paper; stationery	ورق الكتابة؛ القرطاسية
written	مكتوب
written application or petition	طلب مكتوب أو عريضة
wrong	خطأ
wrong; bad; improper; unjustifiable; inadvisable	خطأ؛ سيء؛ غير لائق؛ غير مبرر؛ غير مرغوب فيه
yakuza; gangster	ياكوزا. العصابات
yard	ساحة
yeah	نعم
year	سنة
year (period)	السنة (الفترة)
year after next	سنة بعد القادمة
year before last	العام قبل الماضي
year end; sunset; nightfall; end	نهاية العام؛ غروب؛ حلول الظلام؛ نهاية
year in school; grade in school	سنة في المدرسة؛ الصف في المدرسة
year; fiscal year; school year; term	سنة؛ السنة المالية؛ العام الدراسي؛ مصطلح
yell	الصراخ
yellow	أصفر
yellowish green	أخضر مصفر
yen	ين
yes	نعم
yes or no; existence; flag indicator (comp); presence or absence marker	نعم أم لا؛ وجود؛ مؤشر العلم (شركات)؛ علامة الحضور أو الغياب
yes, that's right	نعم هذا صحيح
yesterday	أمس
yet	بعد
yet; and	بعد؛ و
yet; still; more; besides	بعد؛ ما زال؛ أكثر؛ الى جانب ذلك
yield	العائد
yoga	اليوغا
yogurt	زبادي
you	أنت
you're welcome	على الرحب والسعة
you; lady	أنت؛ سيدة
young	شاب
young lady	سيدة شابة
younger brother	الأخ الأصغر
younger sister	الأخت الصغرى
youngest child	أصغر طفل
youngster	شاب
your	الخاص بك
your attendance	حضورك
your attendance (respect)	حضوركم (الاحترام)
your attention (to a speech)	انتباهك (إلى خطاب)
your correction / point	التصحيح الخاص بك / نقطة
your family (respect)	عائلتك (الاحترام)
your kind consideration	نظرك الكريم
your order	طلبك
your order?	طلبك؟
your pardon; declining (something); dismissal; permission	عفوك؛ انخفاض (شيء)؛ الفصل؛ إذن
your patronage	رعايتك
your request	طلبك
your use (respect)	استخدامك (الاحترام)
your visit to the store	زيارتك للمتجر
yours	لك
yourself	نفسك
youth	الشباب
youth; young man	الشباب؛ شاب
youth; young person	الشباب؛ شاب
youthful; young	شاب. شاب
ys	نعم
zeal; enthusiasm	الحماس. الحماس
zebra	حمار وحشي
zero	صفر
zero; no marks	صفر؛ لا علامات
zipper	سحاب
zone	المنطقة
zoo	حديقة الحيوان
zoori (Japanese footwear); sandals	زوري (حذاء ياباني)؛ الصنادل
~ City	~ المدينة
~ Prefecture	~ المحافظة
~ State	~ الدولة
~ language	~ اللغة
~ nationality	~ الجنسية
~street; ~quarters	~الشارع؛ ~ أرباع
ｐink	ｐ حبر
A blueberry muffin, please.	فطيرة التوت من فضلك.
A cappuccino, please.	كابتشينو من فضلك.
A dessert menu, please.	قائمة الحلويات من فضلك.
A lemonade, please.	عصير ليمون، من فضلك.
About 10 minutes. You have plenty of time.	حوالي 10 دقائق. لديك متسع من الوقت.
About 30 minutes with this traffic.	حوالي 30 دقيقة مع حركة المرور هذه.
About five minutes from here.	حوالي خمس دقائق من هنا.
Actually, what about this mug?	في الواقع، ماذا عن هذا القدح؟
Adults are 8 dollars, students get a discount.	الكبار 8 دولارات، والطلاب يحصلون على خصم.
Alright. The counter is over there.	على ما يرام. العداد هناك.
An iced latte, please.	لاتيه مثلج، من فضلك.
Anything else with that?	أي شيء آخر مع ذلك؟
Anytime! Enjoy the museum.	في أي وقت! استمتع بالمتحف.
Are there any side effects?	هل هناك أي آثار جانبية؟
Can I move some things to my carry-on?	هل يمكنني نقل بعض الأشياء إلى حقيبتي؟
Can you call a taxi for me in the morning?	هل يمكنك طلب سيارة أجرة لي في الصباح؟
Card, please.	البطاقة من فضلك.
Cash, please.	نقدا، من فضلك.
Cash.	نقدي.
Certainly. Here's your key. Room 301, third floor.	بالتأكيد. هنا مفتاحك. غرفة 301، الطابق الثالث.
Certainly. The machine is right here.	بالتأكيد. الآلة هنا.
Checkout is at 10 am. You can leave your bags at the desk.	الخروج في الساعة 10 صباحا. يمكنك ترك حقائبك على المكتب.
Coming right up! Would you like anything to eat?	قادم على الفور! هل ترغب في تناول أي شيء؟
Could I get some chili flakes?	هل يمكنني الحصول على بعض رقائق الفلفل الحار؟
Could I get some extra napkins?	هل يمكنني الحصول على بعض المناديل الإضافية؟
Could I go by bus instead?	هل يمكنني الذهاب بالحافلة بدلاً من ذلك؟
Done! Here's your receipt and your gift.	منتهي! هذا هو إيصالك وهديتك.
Exactly. You can't miss it — it's a big white building.	بالضبط. لا يمكنك تفويتها، إنه مبنى أبيض كبير.
For here, please.	إلى هنا من فضلك.
Gate 12, to your left after security.	البوابة 12، على يسارك بعد الأمن.
Get well soon!	نتمنى لك الشفاء العاجل!
Go straight down this road. At the bank, turn left.	اذهب مباشرة على هذا الطريق. عند البنك، انعطف يسارًا.
Good to hear. There was an accident on the highway.	من الجيد أن نسمع. كان هناك حادث على الطريق السريع.
Good. Has it helped at all?	جيد. هل ساعد على الإطلاق؟
Goodbye!	مع السلامة!
Got it. It's not far.	فهمتها. انها ليست بعيدة.
Got it. Turn left at the bank and keep walking.	فهمتها. انعطف يسارًا عند البنك واستمر في المشي.
Great choice! Anything to drink?	خيار عظيم! أي شيء للشرب؟
Great choice! Would you like it wrapped?	خيار عظيم! هل ترغب في أنها ملفوفة؟
Great! For here or to go?	عظيم! هنا أو للذهاب؟
Great, thanks for your help!	عظيم، شكرا لمساعدتكم!
Here you are. That's 12 dollars.	تفضل. هذا هو 12 دولارا.
Here you are. The cheesecake is our specialty.	تفضل. كعكة الجبن هي تخصصنا.
Here you go.	ها أنت ذا.
