#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
He/She/It + has. Negative: don't have / doesn't have. Question: Do you have...? / Does she have...?	Er/Sie/Es + hat. Negativ: nicht vorhanden / nicht vorhanden. Frage: Haben Sie...? / Hat sie...?
He/She/It + is	Er/Sie/Es + ist
Head to toe.	Von Kopf bis Fuß.
Headaches, fevers and medicine — describe how you feel.	Kopfschmerzen, Fieber und Medikamente – beschreiben Sie, wie Sie sich fühlen.
Headlines, interviews and broadcasting.	Schlagzeilen, Interviews und Rundfunk.
Health	Gesundheit
Health & lifestyle	Gesundheit & Lebensstil
Hedging — 'it could be argued that…'	Absicherung – „man könnte argumentieren, dass…“
Hello, goodbye and the basics of politeness.	Hallo, auf Wiedersehen und die Grundlagen der Höflichkeit.
Hello, how are you today?	Hallo, wie geht es dir heute?
Hello, is anyone there?	Hallo, ist jemand da?
Hello, nice to meet you.	Hallo, schön dich kennenzulernen.
Hello, please come inside.	Hallo, bitte kommen Sie rein.
Help me get up from the floor.	Hilf mir, vom Boden aufzustehen.
Help me set up the tent.	Hilf mir, das Zelt aufzubauen.
Her ambition is to become CEO.	Ihr Ziel ist es, CEO zu werden.
Her analysis of the book was brilliant.	Ihre Analyse des Buches war brillant.
Her apartment is near the park.	Ihre Wohnung liegt in der Nähe des Parks.
Her argument had no coherence.	Ihre Argumentation war nicht schlüssig.
Her attitude toward work is great.	Ihre Einstellung zur Arbeit ist großartig.
Her backpack is too heavy.	Ihr Rucksack ist zu schwer.
Her husband is a doctor.	Ihr Mann ist Arzt.
Her logic was completely irrefutable.	Ihre Logik war völlig unwiderlegbar.
Her morality is very strict.	Ihre Moral ist sehr streng.
Her mother lives in Spain.	Ihre Mutter lebt in Spanien.
Her parents are very supportive.	Ihre Eltern unterstützen sie sehr.
Her plan was met with skepticism.	Ihr Plan stieß auf Skepsis.
Her role was pivotal to the project.	Ihre Rolle war entscheidend für das Projekt.
Her silk scarf is very colorful.	Ihr Seidenschal ist sehr bunt.
Her skin is very pale.	Ihre Haut ist sehr blass.
Her story doesn't sound true.	Ihre Geschichte klingt nicht wahr.
Her younger sister is five.	Ihre jüngere Schwester ist fünf.
Hey, I have an idea.	Hey, ich habe eine Idee.
Hey, how is it going?	Hey, wie geht's?
Hey, wait for me!	Hey, warte auf mich!
Hi, how are you doing?	Hallo, wie geht es dir?
Hi, how is it going?	Hallo, wie geht es dir?
Hi, nice to see you!	Hallo, schön dich zu sehen!
Hi, what is your name?	Hallo wie heißt du?
High heels hurt my feet.	High Heels tun meinen Füßen weh.
His answer remained ambiguous.	Seine Antwort blieb unklar.
His answer was an unequivocal yes.	Seine Antwort war ein eindeutiges Ja.
His answer was very surprising.	Seine Antwort war sehr überraschend.
His behaviour was very strange.	Sein Verhalten war sehr seltsam.
His name is Ravi.	Sein Name ist Ravi.
His personality clashes with mine.	Seine Persönlichkeit kollidiert mit meiner.
His perspective on life is unique.	Seine Sicht auf das Leben ist einzigartig.
His poetry is very emotional.	Seine Gedichte sind sehr emotional.
His talent can be a double-edged sword.	Sein Talent kann ein zweischneidiges Schwert sein.
His wife is a great cook.	Seine Frau ist eine großartige Köchin.
His words had a profound effect	Seine Worte hatten eine tiefgreifende Wirkung
His writing style is very eloquent.	Sein Schreibstil ist sehr eloquent.
Hobbies & Sports	Hobbys und Sport
Hobbies & free time	Hobbys und Freizeit
Hold this for a second.	Halten Sie dies eine Sekunde lang gedrückt.
Hold your tongue for a second.	Halten Sie eine Sekunde lang den Mund.
Home & Rooms	Zuhause & Zimmer
Homework, exams, lessons — the words of a student.	Hausaufgaben, Prüfungen, Unterricht – die Worte eines Schülers.
Hotels and trips	Hotels und Reisen
Hotels, airports, sightseeing	Hotels, Flughäfen, Sehenswürdigkeiten
Hours, half-hours and morning/afternoon/evening.	Stundenweise, halbstündlich und morgens/nachmittags/abends.
House & furniture	Haus & Möbel
House & home	Haus & Heim
House and home	Haus und Heim
Household tasks	Haushaltsaufgaben
How are you? (Are you well?)	Wie geht es dir? (Geht es dir gut?)
How can we mitigate the cost?	Wie können wir die Kosten mindern?
How can you justify this?	Wie können Sie das rechtfertigen?
How do you feel right now?	Wie fühlst du dich gerade?
How do you use this tool?	Wie verwenden Sie dieses Tool?
How far is it?	Wie weit ist es?
How much did you accomplish?	Wie viel haben Sie erreicht?
How much do they pay you?	Wie viel zahlen sie dir?
How much is the taxi fare?	Wie hoch ist der Taxipreis?
How much money is that?	Wie viel Geld ist das?
How often do you exercise?	Wie oft trainieren Sie?
How you get around.	Wie Sie sich fortbewegen.
Humble verbs to lower yourself politely.	Bescheidene Verben, um sich höflich zu erniedrigen.
Humidity makes me feel sticky.	Durch die Luftfeuchtigkeit fühle ich mich klebrig.
I also eat apples.	Ich esse auch Äpfel.
I also like pizza.	Ich mag auch Pizza.
I always wake up early.	Ich stehe immer früh auf.
I am afraid of snakes.	Ich habe Angst vor Schlangen.
I am an only child.	Ich bin ein Einzelkind.
I am at the door.	Ich bin an der Tür.
I am doing research for school.	Ich recherchiere für die Schule.
I am excited for the trip.	Ich freue mich auf die Reise.
I am from Canada.	Ich komme aus Kanada.
I am getting very hungry.	Ich werde sehr hungrig.
I am going to bed now.	Ich gehe jetzt zu Bett.
I am going to study.	Ich werde studieren.
I am going to the library.	Ich gehe in die Bibliothek.
I am going to the market.	Ich gehe auf den Markt.
I am just one person.	Ich bin nur eine Person.
I am not feeling well.	Mir geht es nicht gut.
I am on a strict diet.	Ich mache eine strenge Diät.
I am on my way.	Ich bin auf dem Weg.
I am reading a great book	Ich lese ein tolles Buch
I am reading a novel.	Ich lese einen Roman.
I am reading.	Ich lese.
I am scared of spiders.	Ich habe Angst vor Spinnen.
I am so happy for you.	Ich freue mich so für dich.
I am so happy today.	Ich bin heute so glücklich.
I am so tired today.	Ich bin heute so müde.
I am sorry for being late.	Es tut mir leid, dass ich zu spät komme.
I am taking a course in history.	Ich besuche einen Kurs in Geschichte.
I am thinking about it.	Ich denke darüber nach.
I am too tired to cook.	Ich bin zu müde zum Kochen.
I am under pressure.	Ich stehe unter Druck.
I am very thirsty today.	Ich habe heute großen Durst.
I am very tired.	Ich bin sehr müde.
I am wearing a white t-shirt.	Ich trage ein weißes T-Shirt.
I am with my friend.	Ich bin bei meinem Freund.
I am worried about the exam.	Ich mache mir Sorgen wegen der Prüfung.
I ate a mandarin orange.	Ich habe eine Mandarine gegessen.
I ate a red apple.	Ich habe einen roten Apfel gegessen.
I ate all the cookies.	Ich habe alle Kekse gegessen.
I ate an apple today.	Ich habe heute einen Apfel gegessen.
I ate the whole cake.	Ich habe den ganzen Kuchen gegessen.
I borrowed his pen.	Ich habe mir seinen Stift ausgeliehen.
I bought XKEYX one at the shop.	Ich habe XKEYX eins im Shop gekauft.
I bought a bunch of grapes.	Ich habe eine Weintraube gekauft.
I bought a fresh pineapple.	Ich habe eine frische Ananas gekauft.
I bought a gift for my daughter-in-law.	Ich habe ein Geschenk für meine Schwiegertochter gekauft.
I bought a gift for my granddaughter.	Ich habe ein Geschenk für meine Enkelin gekauft.
I bought a new baseball cap.	Ich habe eine neue Baseballkappe gekauft.
I bought a new blue sweater.	Ich habe einen neuen blauen Pullover gekauft.
I bought a new car.	Ich habe ein neues Auto gekauft.
I bought a new computer.	Ich habe einen neuen Computer gekauft.
I bought a new denim skirt.	Ich habe einen neuen Jeansrock gekauft.
I bought a new leather backpack.	Ich habe einen neuen Lederrucksack gekauft.
I bought a rice ball for lunch.	Zum Mittagessen kaufte ich ein Reisbällchen.
I bought a souvenir from Paris.	Ich habe ein Souvenir aus Paris gekauft.
I bought a train ticket.	Ich habe ein Bahnticket gekauft.
I bought a wooden chest of drawers.	Ich habe eine Holzkommode gekauft.
I bought food at the festival.	Ich habe auf dem Festival Essen gekauft.
I bought her a pearl necklace.	Ich habe ihr eine Perlenkette gekauft.
I bought new blue jeans.	Ich habe neue Bluejeans gekauft.
I bought some cheap snacks.	Ich habe ein paar günstige Snacks gekauft.
I bought some fresh vegetables.	Ich habe frisches Gemüse gekauft.
I bought steak at the butcher shop.	Ich habe Steak in der Metzgerei gekauft.
I bought these yesterday.	Ich habe diese gestern gekauft.
I bought this last week.	Ich habe es letzte Woche gekauft.
I bought this online.	Ich habe das online gekauft.
I buy my fruit from the greengrocer.	Ich kaufe mein Obst beim Gemüsehändler.
I called him twice.	Ich habe ihn zweimal angerufen.
I called them yesterday.	Ich habe sie gestern angerufen.
I can do the laundry now.	Ich kann jetzt die Wäsche waschen.
I can hear the thunder.	Ich kann den Donner hören.
I can see you now.	Ich kann dich jetzt sehen.
I can speak a little Spanish.	Ich kann ein wenig Spanisch sprechen.
I can swim.	Ich kann schwimmen.
I can't afford expensive clothes.	Ich kann mir keine teure Kleidung leisten.
I can't find my reading glasses.	Ich kann meine Lesebrille nicht finden.
I can't handle this much stress.	Ich kann mit so viel Stress nicht umgehen.
I can't live without my phone.	Ich kann nicht ohne mein Telefon leben.
I can't see through the fog.	Ich kann durch den Nebel nicht sehen.
I can't sleep at night.	Ich kann nachts nicht schlafen.
I can't stand this cold wind.	Ich kann diesen kalten Wind nicht ertragen.
I cannot ascertain the exact date.	Das genaue Datum kann ich nicht ermitteln.
I cannot evaluate your work yet.	Ich kann Ihre Arbeit noch nicht bewerten.
I cannot face the truth.	Ich kann der Wahrheit nicht ins Auge sehen.
I cannot justify the expense.	Ich kann den Aufwand nicht rechtfertigen.
I cannot read this map.	Ich kann diese Karte nicht lesen.
I cannot stand for long.	Ich kann nicht lange stehen.
I cannot tie a necktie.	Ich kann keine Krawatte binden.
I cannot wait any longer.	Ich kann es kaum erwarten.
I checked each answer.	Ich habe jede Antwort überprüft.
I concede that you are right.	Ich gebe zu, dass Sie Recht haben.
I contend that we need more time.	Ich behaupte, dass wir mehr Zeit brauchen.
I cook rice every single day.	Ich koche jeden Tag Reis.
I could not find my keys.	Ich konnte meine Schlüssel nicht finden.
I cut my index finger.	Ich habe mir den Zeigefinger geschnitten.
I didn't accomplish much today.	Ich habe heute nicht viel geschafft.
I didn't understand the plot.	Ich habe die Handlung nicht verstanden.
I do my homework at night.	Ich mache abends meine Hausaufgaben.
I don't eat pork.	Ich esse kein Schweinefleisch.
I don't feel like going out.	Ich habe keine Lust rauszugehen.
I don't feel well.	Mir geht es nicht gut.
I don't follow every trend.	Ich folge nicht jedem Trend.
I don't have much money.	Ich habe nicht viel Geld.
I don't know the answer.	Ich weiß die Antwort nicht.
I don't know what to say.	Ich weiß nicht, was ich sagen soll.
I don't know which is better.	Ich weiß nicht, was besser ist.
I don't like either option.	Mir gefällt keine der beiden Optionen.
I don't see any.	Ich sehe keine.
I don't see the significance of this.	Ich sehe die Bedeutung davon nicht.
I don't trust that politician.	Ich vertraue diesem Politiker nicht.
I don't understand this word.	Ich verstehe dieses Wort nicht.
I don't use social media much.	Ich nutze soziale Medien nicht viel.
I doubt the reliability of this car.	Ich bezweifle die Zuverlässigkeit dieses Autos.
I downloaded a new fitness app.	Ich habe eine neue Fitness-App heruntergeladen.
I drink coffee every day.	Ich trinke jeden Tag Kaffee.
I drink coffee too.	Ich trinke auch Kaffee.
I drink green tea every morning.	Ich trinke jeden Morgen grünen Tee.
I drink less coffee now.	Ich trinke jetzt weniger Kaffee.
I drink tea every day.	Ich trinke jeden Tag Tee.
I drink tea every morning.	Ich trinke jeden Morgen Tee.
I drink water.	Ich trinke Wasser.
I dropped my phone on the floor.	Ich habe mein Handy auf den Boden fallen lassen.
I eat an apple.	Ich esse einen Apfel.
I enjoy cooking for my friends.	Ich koche gerne für meine Freunde.
I enjoy your company.	Ich genieße Ihre Gesellschaft.
I enjoyed the photo exhibition.	Die Fotoausstellung hat mir gut gefallen.
I exercise every morning.	Ich trainiere jeden Morgen.
I feel likewise about this.	Mir geht es ähnlich.
I feel sick today.	Mir ist heute schlecht.
I feel the same way.	Mir geht es genauso.
I feel warm and have a fever.	Mir ist warm und ich habe Fieber.
I fell asleep during the movie.	Ich bin während des Films eingeschlafen.
I fight with my older brother.	Ich kämpfe mit meinem älteren Bruder.
I forgot my computer password.	Ich habe mein Computerpasswort vergessen.
I forgot my raincoat at home	Ich habe meinen Regenmantel zu Hause vergessen
I found a coin in my pocket.	Ich habe eine Münze in meiner Tasche gefunden.
I found a great cooking channel.	Ich habe einen tollen Kochkanal gefunden.
I found a job in the newspaper.	Ich habe einen Job bei der Zeitung gefunden.
I found a strange rock.	Ich habe einen seltsamen Stein gefunden.
I found it on a website.	Ich habe es auf einer Website gefunden.
I found the answer on the internet.	Die Antwort habe ich im Internet gefunden.
I get lonely at night.	Nachts werde ich einsam.
I get up at seven.	Ich stehe um sieben auf.
I go by train.	Ich fahre mit der Bahn.
I go to school by bus.	Ich fahre mit dem Bus zur Schule.
I got your text message.	Ich habe deine SMS erhalten.
I had a boiled egg for breakfast.	Zum Frühstück hatte ich ein gekochtes Ei.
I had a long day at work.	Ich hatte einen langen Arbeitstag.
I had a quick lunch.	Ich hatte ein schnelles Mittagessen.
I had already eaten before the party.	Ich hatte schon vor der Party gegessen.
I hate Monday mornings.	Ich hasse Montagmorgen.
I hate humid weather.	Ich hasse feuchtes Wetter.
I hate my daily commute.	Ich hasse meinen täglichen Weg zur Arbeit.
I hate this bad-tasting soup.	Ich hasse diese schlecht schmeckende Suppe.
I hate this rainy weather.	Ich hasse dieses regnerische Wetter.
I have a bad cold.	Ich habe eine schlimme Erkältung.
I have a bad headache.	Ich habe starke Kopfschmerzen.
I have a dentist appointment tomorrow.	Ich habe morgen einen Zahnarzttermin.
I have a few questions.	Ich habe ein paar Fragen.
I have a habit of waking up early.	Ich habe die Angewohnheit, früh aufzustehen.
I have a hundred ideas.	Ich habe hundert Ideen.
I have a job interview tomorrow.	Ich habe morgen ein Vorstellungsgespräch.
I have a loose tooth.	Ich habe einen lockeren Zahn.
I have a lot of respect for him.	Ich habe großen Respekt vor ihm.
